Iteration,Temperature_C,Time_Min,SL_Ratio,Predicted_Yield,Best_So_Far
1,204.89,23.15,16.46,31.4042,31.4042
2,203.87,23.5,16.01,31.4024,31.4042
3,205.13,22.98,16.63,31.3902,31.4042
4,204.26,23.47,16.37,31.4027,31.4042
5,203.67,23.24,16.24,31.4265,31.4265
6,205.12,22.76,16.51,31.4111,31.4265
7,203.4,22.58,16.48,31.4401,31.4401
8,203.39,22.53,16.46,31.441,31.441
9,203.1,22.91,16.87,31.3956,31.441
10,203.59,23.58,16.3,31.4049,31.441
11,204.63,23.4,16.38,31.3988,31.441
12,203.47,23.15,16.05,31.425,31.441
13,204.47,22.79,16.44,31.4292,31.441
14,204.19,23.35,16.08,31.4118,31.441
15,205.06,23.07,16.48,31.4028,31.441
16,202.55,23.41,16.74,31.3873,31.441
17,203.14,22.99,16.21,31.436,31.441
18,203.61,22.48,16.21,31.4408,31.441
19,204.43,22.99,16.16,31.4277,31.441
20,203.21,23.18,16.33,31.4303,31.441
21,203.45,22.77,16.86,31.3997,31.441
22,203.76,23.16,16.47,31.4237,31.441
23,205.44,23.7,16.24,31.3549,31.441
24,202.83,23.49,16.65,31.3919,31.441
25,205.4,22.9,16.55,31.3939,31.441
26,202.61,23.21,16.65,31.4091,31.441
27,202.06,23.22,16.7,31.3991,31.441
28,203.38,22.76,16.72,31.4195,31.441
29,205.74,23.31,16.47,31.3642,31.441
30,203.72,22.99,16.7,31.4115,31.441
31,204.38,23.81,16.26,31.3737,31.441
32,201.02,23.25,16.64,31.3799,31.441
33,204.76,23.69,16.24,31.3764,31.441
34,203.62,23.75,16.3,31.3899,31.441
35,203.6,23.37,16.2,31.4195,31.441
36,201.52,23.54,16.69,31.3714,31.441
37,203.02,22.83,16.2,31.4381,31.441
38,203.3,22.86,16.09,31.4341,31.441
39,204.39,22.61,15.76,31.3988,31.441
40,203.74,23.18,16.62,31.4105,31.441
41,204.29,23.08,16.31,31.4269,31.441
42,204.73,23.28,15.98,31.4024,31.441
43,203.56,23.88,16.23,31.3791,31.441
44,204.65,23.12,16.28,31.4189,31.441
45,203.09,23.41,16.49,31.4116,31.441
46,203.37,22.36,16.76,31.4178,31.441
47,202.83,23.3,16.22,31.4232,31.441
48,202.18,22.96,16.46,31.4264,31.441
49,203.29,23.77,16.06,31.3875,31.441
50,204.27,23.56,16.1,31.3976,31.441
51,204.15,23.77,16.69,31.3468,31.441
52,203.38,23.12,16.36,31.4319,31.441
53,203.94,23.15,16.28,31.4284,31.441
54,202.97,22.58,16.05,31.4285,31.441
55,203.04,23.5,16.2,31.4122,31.441
56,204.94,23.35,16.14,31.3993,31.441
57,204.35,23.28,16.82,31.3673,31.441
58,204.79,22.51,16.63,31.4139,31.441
59,204.99,23.21,16.24,31.4071,31.441
60,203.42,22.53,16.65,31.4289,31.441
